Architecture,Total_Registered_N,True_Subset_I,Padded_Batch,Avg_Offline_Time_s,Avg_Online_Verify_Time_s,Bandwidth_KB
Flat Grid,1024,64,64,188.2398,392.6822,18.00
Hierarchical Grid,1344,4,16,409.5569,129.1954,4.50
